name,price,image
"Royal Canin Feline Renal Liquide
3x200",21.55,https://www.petsonic.com/27054-large_default/royal-canin-feline-renal-liquide.jpg
"vetplus Coatex 240 comprimidos
60 Comprimidos",14.94,https://www.petsonic.com/14226-large_default/vetplus-coatex-para-perros-gatos.jpg
"vetplus Coatex 240 comprimidos
240 Comprimidos",53.28,https://www.petsonic.com/14226-large_default/vetplus-coatex-para-perros-gatos.jpg
"farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato
60 Comprimidos",18.11,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg
"farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato
360 Comprimidos",94.44,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg
"Menforsan Suplemento nutricional relajacion perros y gatos
120 ml",12.38,https://www.petsonic.com/28228-large_default/menforsan-suplemento-nutricional-relajacion-perros-y-gatos.jpg
